[SUM]  0.0- 1.0 sec  2.84 KBytes  23.2 Kbits/sec
[SUM]  1.0- 2.0 sec  52.5 KBytes   430 Kbits/sec
[SUM]  2.0- 3.0 sec  31.2 KBytes   256 Kbits/sec
[SUM]  3.0- 4.0 sec  96.4 KBytes   790 Kbits/sec
[SUM]  4.0- 5.0 sec  17.0 KBytes   139 Kbits/sec
[SUM]  5.0- 6.0 sec  48.2 KBytes   395 Kbits/sec
[SUM]  6.0- 7.0 sec  61.0 KBytes   499 Kbits/sec
[SUM]  7.0- 8.0 sec  48.2 KBytes   395 Kbits/sec
[SUM] 311.0-312.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 312.0-313.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 313.0-314.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 314.0-315.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 315.0-316.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 316.0-317.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 317.0-318.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 318.0-319.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 319.0-320.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 320.0-321.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 321.0-322.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 322.0-323.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 323.0-324.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 324.0-325.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 325.0-326.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 326.0-327.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 327.0-328.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 328.0-329.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 329.0-330.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 330.0-331.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 331.0-332.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 332.0-333.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 333.0-334.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 334.0-335.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 335.0-336.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 336.0-337.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 337.0-338.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 338.0-339.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 339.0-340.0 sec  0.00 Bytes  0.00 bits/sec
